,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
49,Mataura,8,NZ,1553791133,85,-46.19,168.86,37.36,2.71
50,Port Alfred,8,ZA,1553791133,76,-33.59,26.89,67.87,11.65
51,Thompson,75,CA,1553788800,51,55.74,-97.86,10.4,11.41
52,Butaritari,92,KI,1553791133,100,3.07,172.79,81.64,8.63
53,Ancud,0,CL,1553788800,72,-41.87,-73.83,59.0,5.82
54,Avarua,76,CK,1553788800,88,-21.21,-159.78,78.8,4.7
55,Port Elizabeth,1,US,1553791103,46,39.31,-74.98,55.99,8.05
56,Damietta,0,EG,1553788800,72,31.42,31.81,66.2,5.82
57,Hualmay,20,PE,1553791135,69,-11.1,-77.61,77.05,4.05
58,Charlestown,1,US,1553790872,70,41.38,-71.64,48.99,12.75
59,Greystones,0,IE,1553790722,44,53.14,-6.06,62.01,12.75
60,Zhangzhou,0,CN,1553788800,94,24.51,117.65,69.8,2.24
61,Saint George,75,GR,1553790796,50,39.45,22.34,53.6,5.82
62,Coquimbo,90,CL,1553788800,82,-29.95,-71.34,59.0,5.82
63,Bethel,90,US,1553789640,92,60.79,-161.76,30.2,3.49
64,Wajir,40,KE,1553785200,44,1.75,40.07,93.2,1.12
65,Salalah,0,OM,1553788200,78,17.01,54.1,80.6,4.7
66,Grindavik,75,IS,1553788800,100,63.84,-22.43,32.0,34.45
67,Clyde River,75,CA,1553788800,84,70.47,-68.59,-2.21,4.7
68,Margate,0,AU,1553790854,67,-43.03,147.26,60.8,11.41
69,Vagur,92,FO,1553791139,88,61.47,-6.81,48.61,43.08
70,Fermoy,20,IE,1553788800,76,52.14,-8.28,51.8,13.87
71,Riyadh,0,SA,1553788800,14,24.63,46.72,77.0,8.05
72,Hermanus,12,ZA,1553790718,85,-34.42,19.24,73.0,4.0
73,Rocha,0,UY,1553791140,59,-34.48,-54.34,74.53,11.99
74,Longyearbyen,40,NO,1553788200,73,78.22,15.63,21.2,34.45
75,Mar del Plata,36,AR,1553791141,46,-46.43,-67.52,68.23,9.42
76,Worland,90,US,1553790640,74,44.02,-107.96,43.0,5.82
77,Poddorye,24,RU,1553791141,74,57.47,31.12,35.38,6.73
78,Barrow,0,AR,1553790888,44,-38.31,-60.23,76.78,17.47
79,Les Cayes,92,HT,1553790894,100,18.19,-73.75,75.88,1.92
80,Flin Flon,20,CA,1553788800,62,54.77,-101.88,23.0,11.41
81,Dakar,0,SN,1553788800,69,14.69,-17.45,77.0,18.34
82,Viramgam,0,IN,1553788800,27,23.12,72.05,89.6,2.71
83,Port-Gentil,20,GA,1553788800,74,-0.72,8.78,84.2,5.82
84,Ostrovnoy,76,RU,1553790904,92,68.05,39.51,30.34,22.17
85,Binga,32,ZW,1553791144,76,-17.62,27.34,79.12,0.36
86,Dir,68,CM,1553791144,81,6.33,13.54,71.74,2.37
87,Tautira,75,PF,1553790142,78,-17.73,-149.15,78.8,4.7
88,Faanui,0,PF,1553791145,100,-16.48,-151.75,84.34,3.38
89,Oakham,0,GB,1553791084,50,52.67,-0.73,60.01,4.7
90,Port Hardy,40,CA,1553788800,86,50.7,-127.42,39.2,2.24
91,Alice Springs,0,AU,1553788800,29,-23.7,133.88,60.8,4.7
92,Cape Town,20,ZA,1553790981,77,-33.93,18.42,73.0,11.41
93,Altay,12,CN,1553791146,56,47.83,88.13,11.71,0.69
94,Tazovskiy,76,RU,1553791006,90,67.47,78.7,26.47,18.81
95,Taoudenni,88,ML,1553791147,21,22.68,-3.98,92.44,4.16
96,Kodiak,90,US,1553791122,63,39.95,-94.76,64.0,9.17
97,Cam Ranh,40,VN,1553788800,79,11.92,109.15,84.2,8.05
98,Udachnyy,0,RU,1553790945,79,66.42,112.4,14.59,3.15
99,Saint-Philippe,90,CA,1553791054,55,45.36,-73.48,44.01,21.92
100,Yellowknife,90,CA,1553790887,74,62.45,-114.38,32.0,20.8
101,Fairbanks,90,US,1553790726,86,64.84,-147.72,36.0,4.94
102,Querecotillo,0,PE,1553791149,48,-4.84,-80.65,91.45,5.28
103,Saint-Martin-Boulogne,90,FR,1553791148,71,50.72,1.65,55.0,6.93
104,Broome,40,GB,1553791141,58,52.47,1.45,57.2,4.7
105,Lata,0,IN,1553791150,85,30.78,78.62,46.45,2.71
106,Jamestown,92,AU,1553791150,71,-33.21,138.6,51.04,3.6
107,Payo,68,ID,1553791151,94,-3.75,103.64,74.89,2.71
108,Tomatlan,0,MX,1553791151,54,19.93,-105.25,86.5,3.27
109,Alofi,88,NU,1553788800,100,-19.06,-169.92,73.4,1.12
110,Washington DC.,75,US,1553791025,50,38.9,-77.04,57.0,11.41
111,Bambous Virieux,40,MU,1553790846,78,-20.34,57.76,82.4,6.93
112,Ushtobe,92,KZ,1553791152,69,45.25,77.98,55.09,3.6
113,Tura,0,IN,1553791153,82,25.52,90.21,65.26,2.71
114,Pisco,0,PE,1553788800,30,-13.71,-76.2,71.6,9.17
115,Hobart,0,AU,1553791094,67,-42.88,147.33,60.8,11.41
116,Swan River,20,CA,1553791088,77,52.11,-101.27,30.97,7.96
117,Hithadhoo,44,MV,1553791154,100,-0.6,73.08,83.53,7.18
118,Aksu,0,KZ,1553788800,80,52.04,76.93,33.8,15.66
119,Gillette,90,US,1553790738,41,44.29,-105.5,36.0,4.7
120,Srandakan,64,ID,1553791155,96,-7.94,110.25,72.19,2.71
121,Santiago,0,CL,1553790884,49,-33.44,-70.65,75.99,5.82
122,Hambantota,40,LK,1553785800,88,6.12,81.12,80.6,2.24
123,Port Keats,0,AU,1553791156,92,-14.25,129.55,77.5,2.93
124,Kaitangata,8,NZ,1553791062,90,-46.28,169.85,43.0,4.0
125,Kruisfontein,8,ZA,1553790885,75,-34.0,24.73,65.44,14.23
126,Honningsvag,40,NO,1553786400,74,70.98,25.97,35.6,29.97
127,Salmas,75,IR,1553788800,61,38.2,44.77,46.4,9.17
128,Laguna,5,MX,1553787660,28,27.52,-110.01,73.4,2.24
129,Arraial do Cabo,40,BR,1553788800,62,-22.97,-42.02,86.0,5.82
130,Norman Wells,40,CA,1553788800,92,65.28,-126.83,30.2,5.82
131,Upernavik,68,GL,1553791138,100,72.79,-56.15,9.1,10.98
132,Carnarvon,20,ZA,1553791159,23,-30.97,22.13,73.27,11.32
133,Oyama,75,JP,1553791121,41,36.31,139.8,48.99,9.17
134,Caravelas,36,BR,1553791160,100,-17.73,-39.27,80.56,19.48
135,Lubango,36,AO,1553790930,88,-14.92,13.49,71.11,1.36
136,Plouzane,0,FR,1553791085,58,48.38,-4.62,60.8,12.75
137,Kavieng,64,PG,1553791160,100,-2.57,150.8,83.44,11.32
138,Banda Aceh,24,ID,1553790925,99,5.56,95.32,75.34,2.15
139,Ola,0,RU,1553791161,98,59.58,151.3,12.16,11.21
140,Crnomelj,75,SI,1553790600,53,45.57,15.19,57.2,4.7
141,La Ronge,75,CA,1553788800,63,55.1,-105.3,30.2,8.05
142,Illela,0,NG,1553791162,18,12.25,4.3,96.49,7.74
143,Manicore,20,BR,1553788800,62,-5.81,-61.3,89.6,4.7
144,San Cristobal,75,EC,1553790621,49,-0.39,-78.55,71.6,5.82
145,Pevek,48,RU,1553791163,87,69.7,170.27,-3.14,9.19
146,Kapaa,1,US,1553789753,88,22.08,-159.32,64.4,6.93
147,Tuktoyaktuk,75,CA,1553788800,85,69.44,-133.03,15.8,9.17
148,Bull Savanna,92,JM,1553791164,80,17.89,-77.59,76.33,3.38
149,Cochrane,0,CL,1553788800,51,-47.25,-72.57,60.8,8.05
150,Caramoan,12,PH,1553791165,97,13.77,123.86,75.07,6.29
151,Kirillov,40,RU,1553788800,47,59.86,38.38,33.8,6.71
152,Castro,0,CL,1553788800,72,-42.48,-73.76,59.0,5.82
153,Ligayan,0,PH,1553791166,100,4.65,119.47,81.64,8.63
154,Henties Bay,56,NA,1553788929,86,-22.12,14.28,64.99,11.01
155,Yashan,92,CN,1553791166,98,30.81,118.02,56.17,2.71
156,Cururupu,92,BR,1553791167,91,-1.82,-44.87,81.1,7.63
157,Sovetskiy,88,RU,1553791167,97,56.76,48.47,32.32,9.64
158,Kiama,20,AU,1553791026,100,-34.67,150.86,68.0,5.73
159,Srbac,0,BA,1553790600,26,45.1,17.52,55.4,4.7
160,Lima,0,PE,1553790907,69,-12.06,-77.04,77.0,10.29
161,Santa Rosa de Aguan,92,HN,1553791168,100,15.95,-85.71,75.97,8.75
162,Marsh Harbour,80,BS,1553791036,100,26.54,-77.06,69.94,28.54
163,Yumen,0,CN,1553791169,54,40.29,97.04,28.36,5.28
164,Nikolskoye,20,RU,1553790913,60,59.7,30.79,42.8,11.18
165,Pokhara,0,NP,1553791169,81,28.21,83.99,48.97,2.15
166,Namibe,20,AO,1553791170,94,-15.19,12.15,79.12,8.52
167,Shwebo,0,MM,1553791170,83,22.57,95.7,67.33,3.04
168,Morant Bay,40,JM,1553788800,58,17.88,-76.41,84.2,5.82
169,Feldru,12,RO,1553791170,89,47.28,24.6,30.97,2.04
170,Chunskiy,88,RU,1553791171,77,56.08,99.63,22.15,3.15
171,Newport,0,GB,1553791024,66,51.59,-3.0,61.0,6.93
172,Vaini,0,IN,1553791171,90,15.34,74.49,70.48,3.27
173,Clarence Town,0,AU,1553790811,87,-32.59,151.78,66.99,1.12
174,Kavaratti,24,IN,1553791172,100,10.57,72.64,83.44,12.88
175,Aklavik,40,CA,1553788800,92,68.22,-135.01,30.2,4.16
176,Tuatapere,8,NZ,1553790925,100,-46.13,167.69,47.44,4.94
177,Prado,68,BR,1553791174,99,-17.34,-39.22,81.01,19.48
178,Veraval,90,FR,1553791091,62,49.65,0.71,52.0,10.29
179,Mahibadhoo,0,MV,1553791175,100,3.78,72.97,84.43,7.07
180,Nefteyugansk,0,RU,1553788800,69,61.09,72.61,39.2,11.18
181,Kabalo,12,CD,1553791175,96,-6.05,26.92,72.46,3.94
182,Tateyama,44,JP,1553791093,77,36.66,137.31,37.0,0.81
183,Jaumave,20,MX,1553790916,64,23.41,-99.38,75.99,11.41
184,Smithers,5,CA,1553788800,79,54.78,-127.17,28.4,3.36
185,Poykovskiy,0,RU,1553788800,69,61.23,73.33,39.2,11.18
186,Jalu,92,LY,1553791177,93,29.03,21.55,65.35,13.11
187,Kirakira,68,SB,1553791177,100,-10.46,161.92,80.56,5.95
188,Haines Junction,32,CA,1553790879,80,60.75,-137.51,26.29,2.15
189,Guerrero Negro,0,MX,1553791178,69,27.97,-114.04,66.16,9.86
190,Narsaq,20,GL,1553788200,35,60.91,-46.05,23.0,3.36
191,Saldanha,0,PT,1553790926,24,41.42,-6.55,63.82,5.28
192,Mayo,75,CA,1553788800,80,63.59,-135.9,33.8,2.24
193,Dekar,36,BW,1553791179,38,-21.53,21.93,82.81,8.08
194,Lasa,40,CY,1553790622,72,34.92,32.53,62.6,3.36
195,Pangai,76,TO,1553791180,100,-19.8,-174.35,79.93,5.61
196,Puerto Madero,20,AR,1553791087,64,-34.61,-58.36,75.2,10.29
197,Iqaluit,90,CA,1553788800,62,63.75,-68.52,19.4,20.94
198,Ormara,76,PK,1553791180,61,25.21,64.64,80.83,12.77
199,Yar-Sale,8,RU,1553791181,77,66.83,70.83,25.39,11.65
200,Touros,75,BR,1553788800,74,-5.2,-35.46,86.0,10.29
201,Airai,64,TL,1553790900,92,-8.93,125.41,70.66,1.48
202,Qaqortoq,20,GL,1553788200,35,60.72,-46.03,23.0,3.36
203,Souillac,0,FR,1553790943,36,45.6,-0.6,62.6,16.11
204,Lorengau,64,PG,1553791182,97,-2.02,147.27,83.17,7.96
205,Kuusamo,0,FI,1553790000,87,65.96,29.19,37.4,11.41
206,Cabo San Lucas,5,MX,1553790923,24,22.89,-109.91,84.0,4.27
207,Provideniya,88,RU,1553791183,96,64.42,-173.23,28.0,10.2
208,San Angelo,90,US,1553790904,77,31.46,-100.44,66.99,17.22
209,Fairmont,1,US,1553790939,93,40.64,-97.59,46.0,11.41
210,Dubrovnik,0,HR,1553788800,38,42.65,18.09,62.6,12.75
211,Truth or Consequences,1,US,1553790622,15,33.13,-107.25,71.6,5.82
212,Sabang,12,PH,1553791184,97,13.72,123.58,75.07,6.29
213,Sambava,56,MG,1553791185,100,-14.27,50.17,80.11,9.86
214,Cherskiy,36,RU,1553791185,70,68.75,161.3,-10.07,4.38
215,Usogorsk,0,RU,1553791185,84,63.43,48.71,20.53,3.04
216,Mount Gambier,20,AU,1553788800,87,-37.83,140.78,51.8,8.05
217,Tiznit,0,MA,1553791186,79,29.7,-9.73,63.91,6.4
218,Sturgeon Bay,90,US,1553790978,83,44.83,-87.38,50.0,16.11
219,Mount Isa,90,AU,1553788800,83,-20.73,139.49,71.6,8.05
220,Juan Lacaze,8,UY,1553790703,53,-34.43,-57.44,73.0,9.31
221,Warah,0,YE,1553791187,91,13.4,44.12,68.59,2.37
222,Torbay,5,CA,1553791062,29,47.66,-52.73,37.99,10.29
223,Bereda,0,ES,1553791139,40,43.27,-7.54,68.0,10.29
224,Cockburn Town,48,TC,1553790946,100,21.46,-71.14,74.44,5.17
225,San Patricio,0,PY,1553790897,64,-26.98,-56.83,85.51,3.15
226,Aksarka,8,RU,1553791148,87,66.56,67.8,27.19,10.54
227,Chuy,0,UY,1553791188,77,-33.69,-53.46,73.63,15.79
228,Marsa Matruh,75,EG,1553788800,29,31.35,27.25,75.2,6.93
229,Los Llanos de Aridane,75,ES,1553790902,77,28.66,-17.92,64.4,4.7
230,Dukat,0,RS,1553791189,46,42.44,22.31,40.51,4.61
231,Matagami,20,NG,1553791189,20,9.67,8.4,88.12,7.63
232,Cidreira,24,BR,1553790950,74,-30.17,-50.22,75.34,17.47
233,Xuddur,8,SO,1553791190,38,4.12,43.89,79.93,7.4
234,Hirara,100,JP,1553791190,95,24.8,125.28,76.15,17.58
235,Borskoye,92,RU,1553791190,99,53.03,51.7,31.42,3.15
236,Ewa Beach,40,US,1553790701,88,21.32,-158.01,66.99,4.7
237,Lar,0,IR,1553788800,63,27.66,54.32,64.4,4.05
238,Vallenar,64,CL,1553791089,59,-28.58,-70.76,73.36,2.48
239,Coruripe,32,BR,1553791191,92,-10.12,-36.18,83.89,11.43
240,Anadyr,90,RU,1553790147,85,64.73,177.51,14.0,8.95
241,Denpasar,20,ID,1553788800,88,-8.65,115.22,80.6,1.12
242,The Valley,20,AI,1553790703,65,18.22,-63.06,84.99,16.11
243,Ixtapa,5,MX,1553790912,50,20.71,-105.21,81.0,2.82
244,Stillwater,1,US,1553791026,49,36.12,-97.06,73.0,25.28
245,Sorland,75,NO,1553788200,86,67.67,12.69,41.0,19.46
246,Teguise,20,ES,1553788800,77,29.06,-13.56,68.0,8.05
247,Rome,20,IT,1553791084,31,41.89,12.48,66.2,11.41
248,Katsuura,75,JP,1553790868,61,33.93,134.5,50.0,8.05
249,Helong,92,CN,1553791194,98,25.94,116.13,63.91,2.48
250,Codrington,40,AU,1553791116,93,-28.95,153.24,68.0,2.93
251,Yaan,0,NG,1553791195,42,7.38,8.57,93.79,4.05
252,Murray Bridge,92,AU,1553791192,55,-35.12,139.28,69.01,3.0
253,Naze,68,NG,1553791196,77,5.43,7.07,83.62,4.61
254,Sai Buri,40,TH,1553785200,79,6.7,101.62,84.2,6.93
255,Praia da Vitoria,20,PT,1553790645,63,38.73,-27.07,62.6,10.65
256,Vila Velha,75,BR,1553791089,78,-3.71,-38.6,82.4,9.17
257,Jacmel,75,HT,1553790917,69,18.24,-72.54,86.0,8.05
258,Gat,0,SN,1553788800,50,14.69,-16.54,77.0,18.34
259,Geraldton,90,CA,1553788800,79,49.72,-86.95,24.8,13.87
260,Kailua,1,US,1553791001,82,21.39,-157.74,66.99,4.94
261,Aden,0,YE,1553791199,99,12.79,45.03,79.84,5.61
262,Road Town,40,VG,1553790807,74,18.42,-64.62,82.99,11.41
263,Wanning,75,AT,1553791166,54,48.64,13.53,53.6,8.05
264,Nanortalik,80,GL,1553791199,100,60.14,-45.24,28.36,24.07
265,Flores da Cunha,40,BR,1553791180,73,-29.03,-51.18,79.0,6.93
266,Jurmala,0,LV,1553788200,73,56.97,23.77,51.8,8.05
267,Carutapera,88,BR,1553791200,86,-1.2,-46.02,82.36,9.98
268,Hamilton,75,BM,1553790768,64,32.3,-64.78,68.0,19.46
269,Vardo,1,US,1553790911,39,39.62,-77.74,57.0,11.41
270,Sultepec,0,MX,1553791202,35,20.14,-98.35,74.17,2.59
271,Taree,0,AU,1553790598,93,-31.91,152.46,60.8,2.04
272,Srednekolymsk,0,RU,1553791202,70,67.46,153.71,-10.34,3.15
273,Assiniboia,12,CA,1553791203,96,49.63,-105.99,37.54,4.16
274,Abu Dhabi,0,AE,1553788800,88,24.47,54.37,73.4,6.93
275,Kaeo,92,NZ,1553791085,90,-35.1,173.78,66.99,5.39
276,Severo-Kurilsk,88,RU,1553791204,97,50.68,156.12,29.89,18.92
277,Dickinson,90,US,1553790915,69,46.88,-102.79,37.0,10.29
278,Lae,68,PG,1553791204,100,-6.72,146.98,70.21,1.7
279,Chebenki,0,RU,1553788800,74,51.93,55.71,33.8,6.71
280,Ribeira Grande,75,PT,1553790600,55,38.52,-28.7,60.8,12.75
281,Sistranda,40,NO,1553790724,62,63.73,8.83,51.8,27.51
282,Dunedin,0,NZ,1553790738,82,-45.87,170.5,55.0,10.0
283,Biak,36,ID,1553791206,100,-0.91,122.88,76.51,2.71
284,Acari,48,BR,1553791206,99,-6.44,-36.64,77.41,5.61
285,Constitucion,5,MX,1553790617,25,23.99,-104.67,72.0,3.36
286,La Macarena,92,CO,1553791206,100,2.18,-73.79,69.49,1.81
287,Surt,56,LY,1553791207,94,31.21,16.59,59.05,16.46
288,Zhangjiakou,48,CN,1553791207,86,40.77,114.88,17.29,2.71
289,Zhanaozen,0,KZ,1553791207,73,43.35,52.85,39.88,6.96
290,Fort Nelson,40,CA,1553788800,74,58.81,-122.69,30.2,4.7
291,Stepnyak,92,KZ,1553791208,95,52.83,70.79,33.13,18.03
292,Phan Thiet,56,VN,1553791209,95,10.93,108.1,80.56,1.7
293,Neuquen,0,AR,1553788800,53,-38.95,-68.06,71.6,6.93
294,Palmer,1,US,1553791108,80,61.6,-149.11,37.0,11.41
295,Athni,0,IN,1553791210,32,16.73,75.07,73.81,6.62
296,Moron,12,VE,1553791210,70,10.49,-68.2,84.88,2.82
297,Coari,24,BR,1553791211,91,-4.09,-63.14,81.73,2.15
298,Athabasca,0,CA,1553791010,76,54.72,-113.29,41.59,7.85
299,Marfino,0,RU,1553790353,47,56.07,37.56,36.0,8.95
300,Freeport,40,BS,1553788800,65,26.54,-78.7,77.0,13.87
301,Miranda do Corvo,0,PT,1553791139,42,40.09,-8.33,73.99,11.41
302,Te Anau,8,NZ,1553791212,84,-45.41,167.72,32.5,2.37
303,Labuhan,88,ID,1553791212,96,-2.54,115.51,72.19,2.15
304,Talcahuano,90,CL,1553788800,67,-36.72,-73.12,60.8,6.93
305,Lebu,24,ET,1553791213,69,8.96,38.73,58.15,6.51
306,Shelburne,90,CA,1553791203,61,44.08,-80.2,50.0,16.11
307,Sibu,90,MY,1553788800,94,2.29,111.83,75.2,5.82
308,Saint-Denis,20,FR,1553791212,50,48.94,2.36,57.99,11.41
309,Sobolevo,76,RU,1553791214,55,54.43,31.9,34.21,8.63
310,Westport,40,IE,1553791092,62,53.8,-9.52,55.99,13.87
311,Rawson,0,AR,1553791215,28,-43.3,-65.11,81.91,11.65
312,Sigli,24,ID,1553791215,95,5.38,95.96,77.86,2.48
313,Kourou,90,GF,1553788800,70,5.16,-52.64,84.2,11.41
314,Wajima,36,JP,1553791216,100,37.4,136.9,34.66,5.95
315,Vestmannaeyjar,90,IS,1553788800,92,63.44,-20.27,30.2,34.45
316,Celestun,0,MX,1553791217,98,20.87,-90.4,76.24,12.77
317,Hare Bay,5,CA,1553790678,24,48.86,-53.99,37.99,16.11
318,Sioux Lookout,75,CA,1553788800,58,50.1,-91.92,24.8,10.29
319,Linjiang,0,CN,1553791218,65,41.81,126.91,12.97,2.71
320,Puerto Escondido,5,MX,1553787660,54,15.86,-97.07,84.2,5.82
321,Cayenne,90,GF,1553788800,70,4.94,-52.33,84.2,11.41
322,Madison,40,US,1553790933,62,43.07,-89.38,55.99,9.17
323,Chiantla,68,GT,1553790693,52,15.35,-91.46,66.99,8.01
324,Cocobeach,20,GA,1553788800,94,1.01,9.58,78.8,2.24
325,Hilo,1,US,1553791216,82,19.71,-155.08,63.0,3.36
326,Alleroy,75,RU,1553788800,93,43.22,46.28,37.4,4.47
327,Tessalit,0,ML,1553791220,14,20.2,1.01,92.62,2.82
328,Takab,44,IR,1553791220,88,36.4,47.11,30.88,2.48
329,Egvekinot,48,RU,1553791221,82,66.32,-179.17,14.86,2.37
330,Binzhou,44,CN,1553791213,66,37.38,117.96,43.0,8.19
331,Karatau,0,KZ,1553791221,86,43.18,70.46,43.21,2.59
332,Kon Tum,56,VN,1553791221,85,14.36,108.0,70.3,0.81
333,Mahebourg,40,MU,1553791144,78,-20.41,57.7,82.4,6.93
334,Klaksvik,92,FO,1553788200,93,62.23,-6.59,44.6,25.28
335,Nanga Eboko,20,CM,1553791222,70,4.68,12.37,81.46,0.58
336,Otukpo,0,NG,1553791222,42,7.19,8.13,93.79,4.05
337,Marshalltown,1,US,1553791221,75,42.04,-92.91,46.4,13.87
338,Padang,40,ID,1553788800,94,-0.92,100.36,80.6,6.93
339,Scarborough,0,GB,1553791223,54,54.28,-0.41,60.01,12.75
340,Knokke-Heist,75,BE,1553791224,62,51.33,3.33,55.0,6.93
341,Sokna,0,NO,1553791204,75,60.24,9.92,55.0,8.05
342,Kyren,76,RU,1553791225,83,51.68,102.13,13.24,2.15
343,Saint-Pierre,0,FR,1553791042,41,48.95,4.24,60.8,12.75
344,Morozovsk,12,RU,1553791226,89,48.35,41.83,28.18,4.83
345,Leningradskiy,56,RU,1553791226,88,69.38,178.42,8.2,18.37
346,Prince Rupert,1,CA,1553788800,75,54.32,-130.32,41.0,3.36
347,Hasaki,75,JP,1553790277,52,35.73,140.83,45.0,8.05
348,Prattville,1,US,1553791145,36,32.46,-86.46,64.99,3.36
349,Berlevag,20,NO,1553788200,80,70.86,29.09,35.6,17.22
350,Bilibino,76,RU,1553791228,69,68.06,166.44,0.64,2.59
351,Saskylakh,12,RU,1553791228,70,71.97,114.09,16.57,11.21
352,Altmunster,75,AT,1553791103,54,47.9,13.76,53.6,8.05
353,Bowling Green,1,US,1553790952,39,36.99,-86.44,66.99,16.11
354,Sao Jose da Coroa Grande,92,BR,1553791229,86,-8.9,-35.15,82.09,9.75
355,Grand Gaube,40,MU,1553791144,78,-20.01,57.66,82.4,6.93
356,Cape Girardeau,1,US,1553790919,39,37.31,-89.52,69.01,10.29
357,Araouane,48,ML,1553791230,16,18.9,-3.53,101.17,3.38
358,Yerbogachen,68,RU,1553791230,67,61.28,108.01,18.73,2.48
359,Abu Kamal,8,SY,1553791231,79,34.45,40.92,51.04,3.15
360,Maniitsoq,44,GL,1553791231,91,65.42,-52.9,16.3,8.63
361,Sept-Iles,90,CA,1553790796,59,50.2,-66.38,36.0,13.87
362,Talnakh,80,RU,1553791232,86,69.49,88.39,21.07,12.77
363,Saint Anthony,90,US,1553791232,93,43.97,-111.68,39.0,18.34
364,Salto,20,UY,1553791012,64,-31.39,-57.96,79.0,17.22
365,Lucapa,12,AO,1553790951,83,-8.42,20.74,75.34,2.59
366,Tual,56,ID,1553791233,100,-5.67,132.75,82.18,15.46
367,Miles City,90,US,1553791030,93,46.41,-105.84,37.4,5.82
368,Tasiilaq,5,GL,1553788200,52,65.61,-37.64,17.6,12.75
369,Angoche,64,MZ,1553791234,100,-16.23,39.91,80.2,10.2
370,Buraydah,0,SA,1553788800,31,26.33,43.97,73.4,5.82
371,Nampula,75,MZ,1553788800,83,-15.12,39.26,77.0,10.29
372,Halifax,20,CA,1553791131,64,44.65,-63.58,37.99,19.46
373,Mungwi,24,ZM,1553791235,92,-10.17,31.37,65.53,4.16
374,Sitka,76,US,1553790700,65,37.17,-99.65,66.0,13.0
